feature,fake_correct,fake_error,fake_ratio,real_correct,real_error,real_ratio
n_words,434.471964017991,545.1869918699186,1.2548266332953604,401.1837905236908,537.2008733624455,1.339039328237073
avg_word_len,4.677756242951159,4.865440048702278,1.0401226134931543,4.948157063600522,4.785827338121337,0.9671939020138811
n_sentences,22.761019490254874,26.646341463414632,1.1707007005913448,21.499501246882794,29.471615720524017,1.3708046238885239
exclamation_count,0.9430284857571214,0.540650406504065,0.5733129111895253,0.060099750623441396,0.314410480349345,5.231477287140554
question_count,1.3112443778110945,0.7804878048780488,0.5952268075161886,0.09301745635910225,0.40611353711790393,4.365992718077198
quote_count,0.18590704647676162,0.032520325203252036,0.1749278783110412,0.022194513715710722,0.07860262008733625,3.541533781463128
allcaps_words,8.056671664167917,13.414634146341463,1.6650342356637304,3.8351620947630924,3.6331877729257642,0.9473361707154115
allcaps_ratio,0.03745235880029049,0.03294701180978963,0.8797045864447417,0.011975101266693246,0.008733671145521149,0.729319189125557
digit_ratio,0.006674299863118942,0.007401953051622846,1.1090231490084517,0.00575066037043321,0.006377914317425661,1.1090751160018861
upper_char_ratio,0.06907006196035585,0.05939139951955865,0.8598718147038515,0.04217667883699774,0.03942778118520814,0.9348242268573732
