feature,fake,real,fake/real
n_words,442.6569497961691,403.56128514814117,1.096876648198988
avg_word_len,4.6889589341962505,4.937621640767921,0.9496391735408471
n_sentences,22.993466242251632,21.578458199660314,1.0655750299441502
exclamation_count,0.8548612274529513,0.06303076052085299,13.56260372536883
question_count,1.2631931646842016,0.10657671258728062,11.85243130528833
quote_count,0.16998938962416932,0.018682770334025288,9.098725006247204
allcaps_words,8.27497626626459,3.7811851292696734,2.1884610203846013
allcaps_ratio,0.03762373485665029,0.0118581590386667,3.172814155550456
digit_ratio,0.006501757309697496,0.005711379746585355,1.1383864491911402
upper_char_ratio,0.06911980987085467,0.042129435908912716,1.6406535805581957
